Ortsnetz,Landkreis,BezirkNR,Bezirk,1840,1875,1880,1885,1890,1895,1900,1905,1910,Region,Longitude,Latitude,NNID,NameGNU,PostOffice,PostRevenues,PostBahn,Bahnbezirk,RankRailWeight,TotalRailWeight,SentRailWeight,RankRailRevenues,RailRevenues,CollectedNachnahme,PaidNachnahme
Bruckmuehl,BadAibling,73,RosenheimAibling,783,1391,1364,1668,1703,1776,2156,2310,2540,OB,11.9125,47.88194,DEBKGGND00000R1H,,E,2223.91,1,Rm,514,22306.92,10320.58,409,37718,13020,2746
Brueckenau,Brueckenau,165,Brueckenau,1748,1633,1654,1559,1548,1495,1627,1819,2098,UF,9.792222,50.30861,DEBKGGND00000V5W,Bad Brückenau,E,9242.43,0,Z,0,0,0,0,0,0,0
Buchloe,Kaufbeuren,146,KaufbeurenLand,835,1420,1607,1608,1713,1749,1943,2315,2585,SC,10.72944,48.03666,DEBKGGND00000SMD,,V,9194.57,1,K,372,7211.78,3623.28,526,96332,27535,6680
Burgau,Guenzburg,144,GuenzburgLand,2254,2081,2164,2119,1996,2046,2033,2123,2178,SC,10.40611,48.43166,DEBKGGND00000JN8,,E,7983.83,1,A,520,24186.02,22490.74,407,37332,12230,5072
Burgebrach,Bamberg,84,BambergLandII,834,934,936,1001,948,939,917,906,972,OF,10.73805,49.82638,DEBKGGND00000HGP,,E,3454.69,0,Z,0,0,0,0,0,0,0
Burghausen,Altoetting,57,Altoetting,3652,3330,3475,3383,3426,3040,3048,3384,3268,OB,12.83138,48.16888,DEBKGGND00000RTM,,E,13927.44,0,Z,0,0,0,0,0,0,0
Burgkundstadt,Lichtenfels,93,Lichtenfels,1438,1283,1251,1236,1187,1309,1454,1638,1839,OF,11.25166,50.14111,DEBKGGND00000KEP,,E,11527.71,1,B,414,9173.01,2895.05,482,63401,12807,5402
Burglengenfeld,Burglengenfeld,105,Burglengenfeld,1918,3065,3320,3352,3271,2960,3060,3176,3246,OP,12.04194,49.20555,DEBKGGND00000C59,,E,6051.05,0,Z,0,0,0,0,0,0,0
Buttenheim,Bamberg,83,BambergLandI,840,738,754,760,725,741,726,706,732,OF,11.0325,49.80305,DEBKGGND00000SMB,,N,0,0,Z,0,0,0,0,0,0,0
Cadolzburg,Fuerth,15,FuerthLand,1301,1285,1237,1227,1280,1417,1494,1584,1655,MF,10.85638,49.45916,DEBKGGND00000OZI,,E,1804.48,0,Z,0,0,0,0,0,0,0
Cham,Cham,106,Cham,2310,32222,3445,3543,3686,3889,4074,4167,4558,OP,12.66694,49.21888,DEBKGGND00000JV0,,E,16064.76,0,Wn,557,48405.34,31083.54,566,186531,61108,23055
Dachau,Dachau,59,Dachau,1304,2726,3101,3376,3890,4247,5055,5450,5764,OB,11.4375,48.26333,DEBKGGND0000055Q,,E,9615.36,1,I,511,21470.5,7127.84,538,115266,19929,3863
Dahn,Pirmasens,127,Pirmasens,1426,1373,1420,1311,1312,1412,1588,1654,1772,PF,7.778055,49.15111,DEBKGGND00000F1F,Dahn,E,4156.67,0,Z,0,0,0,0,0,0,0
Deggendorf,Deggendorf,26,Deggendorf,3805,6767,6226,6367,6250,6527,6811,7211,7478,NB,12.96527,48.83333,DEBKGGND00000LA4,,E,31351.66,0,Rm,547,35054.8,22259.39,577,235598,69817,87105
Deidesheim,NeustadtWeinstrasse,126,NeustadtDuerkheim,2435,2688,2744,2823,2806,2783,2808,2692,2551,PF,8.186666,49.40916,DEBKGGND000001CY,Deidesheim,E,15637.81,0,Z,0,0,0,0,0,0,0
Dettelbach,Kitzingen,172,KitzingenLand,2140,2202,2217,2189,2113,2033,2065,2093,2058,UF,10.16027,49.80138,DEBKGGND000005SS,,E,8534.7,1,Wg,224,3069.9,657.44,326,24001,8085,5767
Diessen,Landsberg,67,LandsbergLand,1150,1257,1174,1174,1255,1299,1444,1552,1653,OB,11.10333,47.94777,DEBKGGND00000KH8,,E,4870.01,0,Z,0,0,0,0,0,0,0
Dietmannsried,Kempten,147,KemptenLand,1051,576,591,650,675,769,860,992,1014,SC,10.29,47.80861,DEBKGGND00000RFU,,E,2138.52,1,K,278,4085.7,813.93,355,28345,4378,941
Dillingen,Dillingen,131,Dillingen,4040,5029,5452,5862,5775,6192,6078,6162,6291,SC,10.49527,48.58055,DEBKGGND00000GAC,,E,29903.29,0,A,438,10125.2,2195.67,545,127309,56261,18132
Dingolfing,Dingolfing,32,Dingolfing,2372,3169,3501,3636,3534,3473,3400,3443,3612,NB,12.49666,48.62944,DEBKGGND00000NRU,,E,11540.72,1,Rg,392,7669.17,2843.02,426,40672,13732,3442
Dinkelsbuehl,Dinkelsbuehl,2,Dinkelsbuehl,5019,5240,5286,4477,4496,4577,4573,4655,4800,MF,10.32,49.06861,DEBKGGND000004PN,,E,15374.36,0,A,315,4927.61,1532.82,490,71120,21393,5363
Donauwoerth,Donauwoerth,132,Donauwoerth,2928,3758,3857,3683,3725,4083,4367,4747,4585,SC,10.77777,48.71888,DEBKGGND0000003V,,Amt,38076.95,0,A,499,17666.44,8479,565,177079,38303,22702
Dorfen,Erding,61,Erding,1064,1632,1724,1858,1930,2050,2246,2315,2396,OB,12.15333,48.27361,DEBKGGND00000RMT,,E,6822.44,1,M,377,7217.03,3327.26,508,82349,31800,4633
Ebrach,Bamberg,84,BambergLandII,382,1030,1046,971,1024,1067,1403,1287,1344,OF,10.49722,49.84777,DEBKGGND00000RP9,,E,3135,0,Z,0,0,0,0,0,0,0
Edenkoben,LandauPfalz,125,LandauPfalz,5064,4889,4898,5008,4914,5128,5232,5144,5069,PF,8.126944,49.2825,DEBKGGND00000RQK,Edenkoben,E,22078.68,0,Z,0,0,0,0,0,0,0
Eggenfelden,Eggenfelden,33,Eggenfelden,1525,1895,2237,2202,2377,2470,2561,2769,3102,NB,12.76222,48.40333,DEBKGGND00000INB,,E,12438.25,1,Rm,312,4841.74,1884.41,443,46595,26011,3978
Eggmuehl,Mallersdorf,40,Mallersdorf,331,328,341,354,334,363,359,418,433,NB,12.18138,48.84305,DEBKGGND00000CTP,Eggmühl,E,1464.2,1,Rg,342,5902.27,2941.39,397,34774,11663,1544
Eichstaett,Eichstaett,3,Eichstaett,7396,7136,7489,7655,7546,7722,7701,7942,8029,MF,11.18305,48.89194,DEBKGGND000002TS,,V,31423.89,1,I,508,20071.25,13243.27,539,116775,26453,14918
Eisenstein,Regen,43,Regen,421,656,912,864,881,1143,1212,1183,1262,NB,13.20333,49.12194,DEBKGGND00000I9R,Bayerisch Eisenstein,E,3057.23,1,Rm,531,29627.85,27627.34,484,68720,254558,201274
Eltmann,Hassfurt,169,Hassfurt,1361,1464,1529,1576,1525,1571,1641,1812,1801,UF,10.66444,49.97138,DEBKGGND00000LI5,,E,7330.28,0,Z,0,0,0,0,0,0,0
Endorf,Rosenheim,73,RosenheimAibling,722,958,1057,1112,1213,1314,1466,1568,1672,OB,11.86944,49.07833,DEBKGGND00000UV7,,E,3703.4,1,Rm,444,10395.09,7756.56,448,48445,25258,3776
Ensheim,SanktIngbert,129,ZweibrueckenStIngbert,1262,1662,1745,1798,1888,1999,2269,2554,2770,PF,8.115833,49.80666,DEBKGGND00000JMZ,Ensheim,E,2912.57,0,Z,0,0,0,0,0,0,0
Erbendorf,NeustadtWaldnaab,112,NeustadtWN,1359,1436,1419,1355,1304,1288,1261,1266,1310,OP,12.04805,49.83805,DEBKGGND000004Y9,Erbendorf,E,4660.85,0,Z,0,0,0,0,0,0,0
Erding,Erding,61,Erding,2099,2755,2862,2998,3104,3341,3388,3813,3834,OB,11.90472,48.30527,DEBKGGND00000TCN,Erding,E,14240.25,1,m,425,9700.39,4642.9,534,103182,45590,8387
Ergoldsbach,Mallersdorf,40,Mallersdorf,688,1182,1345,1373,1406,1492,1656,1812,2035,NB,12.20416,48.69166,DEBKGGND00000AWO,Ergoldsbach,E,4304.32,1,Rg,417,9357.77,6776.65,381,32877,7571,12167
Erlangen,Erlangen,4,Erlangen,10630,13597,14876,15828,17559,20892,22953,23737,24877,MF,11.00472,49.595,DEBKGGND0000018A,Erlangen,V,73190.46,1,B,572,86647.05,27914.93,607,733100,146969,74386
Ettringen,Mindelheim,152,Mindelheim,703,771,859,902,896,942,953,956,1088,SC,10.65222,48.10388,DEBKGGND00000F6H,Ettringen,N,0,0,Z,0,0,0,0,0,0,0
Fall,m,0,NA,,,,,,,,,,,11.53166,47.56916,DEBKGGND00000LVH,Fall,N,0,0,Z,0,0,0,0,0,0,0
Feldafing,Muenchen,71,MuenchenLandI,304,494,542,500,498,545,632,692,745,OB,11.29305,47.9475,DEBKGGND00000S19,Feldafing,E,3724.12,1,M,325,5282.28,1993.57,321,23424,19835,3676
Feldkirchen,Muenchen,71,MuenchenLandI,310,405,409,422,443,498,666,876,1079,OB,11.72944,48.14666,DEBKGGND00000NH3,Feldkirchen,E,1244.41,1,M,268,3898.18,846.5,265,17238,4737,3629
Feucht,Nuernberg,20,NuernbergLand,663,804,869,911,998,1226,1095,1058,1281,MF,11.21305,49.37638,DEBKGGND00000G7B,Feucht,E,1312.36,1,Rg,194,2523.42,492.91,335,25438,5738,2333
Feuchtwangen,Feuchtwangen,14,Feuchtwangen,2232,2535,2711,2468,2372,2355,2385,2428,2486,MF,10.33138,49.1675,DEBKGGND00000IAI,Feuchtwangen,E,10256.99,0,N,287,4211.95,1029.14,462,55395,9171,7521
Fichtelberg,Bayreuth,85,BayreuthLand,1053,1045,1094,1079,1118,1115,1156,1255,1408,OF,11.85166,50.00083,DEBKGGND00000IUK,Fichtelberg,E,2111.85,0,Z,0,0,0,0,0,0,0
Fischach,Augsburg,140,AugsburgSchwabmuenchen,542,660,672,661,670,688,753,715,743,SC,10.65555,48.29027,DEBKGGND00000O8P,Fischach,E,2786.09,0,Z,0,0,0,0,0,0,0
Forchheim,Forchheim,88,Forchheim,3019,3848,4384,5041,5971,6790,7591,8417,9150,OF,11.05944,49.72527,DEBKGGND00000FGX,Forchheim,E,19058.16,1,B,523,25500.81,7591,578,235672,50175,17229
Frankenthal,Frankenthal,184,Frankenthal,4322,7907,9043,10907,13008,14445,16899,18190,18779,PF,8.354166,49.53555,DEBKGGND00000N6G,Frankenthal (Pfalz),E,51784.64,0,Z,0,0,0,0,0,0,0
Freilassing,Laufen,68,Laufen,774,923,950,970,1101,1183,1687,2484,3032,OB,12.97916,47.84194,DEBKGGND00000SS3,Freilassing,E,5376.11,1,rm,298,4488.66,1860.88,496,72577,23492,17113
Freinsheim,NeustadtWeinstrasse,126,NeustadtDuerkheim,2188,2143,2343,2414,2427,2422,2462,2504,2586,PF,8.212777,49.50694,DEBKGGND00000Q2A,Freinsheim,E,7218.35,0,Z,0,0,0,0,0,0,0
Freising,Freising,50,Freising,4926,7783,8253,8850,9125,9486,9750,10090,13586,OB,11.74833,48.40361,DEBKGGND000001V8,Freising,E,39003.32,0,Rg,517,23333.07,7830.95,580,255561,65473,28886
Freyung,Wolfstein,49,Wolfstein,619,789,779,795,810,879,974,1042,1042,NB,13.5475,48.80888,DEBKGGND00000WUO,Freyung,E,7516.95,0,Z,0,0,0,0,0,0,0
Friedberg,Friedberg,63,Friedberg,1982,2400,2498,2606,2679,2658,3009,3150,3300,OB,10.98444,48.35388,DEBKGGND000007EY,Friedberg,E,6338.89,1,I,329,5525.59,2530.63,389,33768,14288,2834
Frontenhausen,Vilsbiburg,47,Vilsbiburg,1054,1327,1477,1450,1493,1593,1638,1676,1664,NB,12.52555,48.54583,DEBKGGND00000L0W,Frontenhausen,E,4419.33,1,Rm,409,8980.22,2387.76,452,49612,21356,3908
Fuerstenzell,Passau,41,PassauWegscheid,1100,1270,1324,1373,1401,1459,1479,1646,1730,NB,13.31805,48.5225,DEBKGGND00000JQA,Fürstenzell,E,788.42,0,Z,0,0,0,0,0,0,0
Fuerth,Fuerth,5,Fuerth,14989,27360,31063,35455,43206,46726,54144,60635,66553,MF,10.98777,49.47111,DEBKGGND00000LDW,Fürth,Amt,271885.59,0,N,584,124286.16,30239.73,616,1606622,192225,392352
Fuessen,Fuessen,143,Fuessen,1648,2415,2606,2768,2989,3186,3847,4462,5099,SC,10.70027,47.56944,DEBKGGND00000VUF,Füssen,E,14136.76,0,Z,0,0,0,0,0,0,0
FurthWald,Cham,106,Cham,3052,4338,4637,4926,4939,5085,5375,5732,6027,OP,12.84277,49.30777,DEBKGGND000006J5,Furth im Wald,E,11823.98,0,Wn,574,88986,22579.22,594,421573,221963,603604
Garmisch,Garmisch,65,Garmisch,2675,2968,3045,3206,3654,3880,4620,5233,6709,OB,11.10527,47.49388,DEBKGGND00000UF0,Garmisch-Partenkirchen,E,12474.92,0,Z,0,0,0,0,0,0,0
Gefrees,Muenchberg,94,Muenchberg,1554,1576,1560,1551,1442,1389,1457,1643,1583,OF,11.73861,50.09472,DEBKGGND00000UTT,Gefrees,E,5712.19,0,B,339,5852.3,3522.94,297,20486,13289,2450
Geiselhoering,Mallersdorf,40,Mallersdorf,1205,1820,1769,1754,1889,1947,2044,2168,2333,NB,12.39111,48.82472,DEBKGGND00000RO0,Geiselhöring,E,5629.46,1,Rg,382,7293.18,4672.48,441,46390,10475,2893
Geisenfeld,Pfaffenhofen,72,Pfaffenhofen,1054,1816,1933,2032,1872,1899,1844,1981,2060,OB,11.61194,48.68388,DEBKGGND00000ONU,Geisenfeld,E,8601.26,0,Z,0,0,0,0,0,0,0
Gemuenden,Gemuenden,174,LohrGemuenden,1558,1851,2131,2043,2042,2171,2187,2386,2376,UF,9.700555,50.05111,DEBKGGND00000BR3,Gemünden a. Main,V,8803.98,1,Wg,565,56190.34,16165.15,557,156533,47093,73844
Georgensgmuend,Schwabach,23,SchwabachLand,1020,1323,1386,1529,1519,1531,1580,1607,1660,MF,11.01444,49.18777,DEBKGGND00000NQV,Georgensgmünd,E,3828.6,1,N,428,9752.09,4691.38,461,54787,17273,8400
Germersheim,Germersheim,121,Germersheim,3533,6455,6449,6128,6137,5736,5868,5914,5838,PF,8.3675,49.21861,DEBKGGND00000URP,Germersheim,E,28216.37,0,Z,0,0,0,0,0,0,0
Gerolzhofen,Gerolzhofen,167,Gerolzhofen,2050,2072,2225,2264,2168,2227,2163,2533,2553,UF,10.35083,49.89972,DEBKGGND00000VK7,Gerolzhofen,E,5595.15,0,Z,0,0,0,0,0,0,0
Goellheim,Kirchheimbolanden,123,Kaiserslautern,1845,1637,1668,1613,1651,1631,1592,1619,1663,PF,8.051111,49.59472,DEBKGGND00000AW7,Göllheim,E,3852.63,0,Z,0,0,0,0,0,0,0
Graefenberg,Forchheim,88,Forchheim,949,1050,1111,1182,1154,1120,1099,1153,1150,OF,11.25111,49.64472,DEBKGGND00000NZZ,Gräfenberg,E,3209.38,0,Z,0,0,0,0,0,0,0
Grafenau,Grafenau,34,Grafenau,774,1018,1154,1073,1173,1129,1253,1235,1344,NB,13.39722,48.85861,DEBKGGND00000RQF,Grafenau,E,6294.95,0,Z,0,0,0,0,0,0,0
Grafengehaig,Stadtsteinbach,98,Stadtsteinach,600,650,665,666,644,570,552,548,475,OF,11.59305,50.20388,DEBKGGND00000WI9,Grafengehaig,E,2927.46,0,Z,0,0,0,0,0,0,0
Grafing,Ebersberg,60,Ebersberg,624,891,882,933,944,969,1059,1069,1130,OB,11.96583,48.04527,DEBKGGND00000QND,Grafing b. München,E,5100.65,1,Rm,451,10676.17,7928.21,436,44924,24936,13369
Grassau,Traunstein,77,TraunsteinLand,1022,1136,1236,1370,1465,1528,1669,1794,1945,OB,12.45138,47.77833,DEBKGGND00000H7O,Grassau,E,3080.19,0,Z,0,0,0,0,0,0,0
Griesbach,Griesbach,35,Griesbach,901,1190,1193,1264,1199,1233,1247,1272,1237,NB,13.19277,48.45277,DEBKGGND00000BG1,Bad Griesbach i. Rottal,E,6740.3,0,Rm,1,0,0,1,1983,0,0
Groenenbach,Memmingen,151,MemmingenLand,1747,1707,1656,1799,1777,1755,1825,1918,1988,SC,10.22111,47.875,DEBKGGND00000S5U,Bad Grönenbach,E,3683.96,1,K,247,3498.58,2486.62,284,19422,5354,1972
Gruenenbach,Lindau,149,LindauLand,331,657,650,661,699,667,692,662,782,SC,10.01055,47.62916,DEBKGGND00000TOJ,Grünenbach,N,0,0,Z,0,0,0,0,0,0,0
Gruenstadt,Frankenthal,184,Frankenthal,3547,3531,3810,3668,3606,3635,3931,4514,4710,PF,8.168055,49.5625,DEBKGGND00000AUO,Grünstadt,E,21496.54,0,Z,0,0,0,0,0,0,0
Guenzburg,Guenzburg,133,Guenzburg,5200,3808,4014,4114,4114,4339,4624,4747,4585,SC,10.28138,48.45444,DEBKGGND00000LY8,Günzburg,E,15278.99,1,A,496,16953.55,7895.73,559,160586,40893,17307
Gunzenhausen,Gunzenhausen,16,Gunzenhausen,2600,3434,3755,3807,3853,4181,4503,4849,5278,MF,10.75916,49.11333,DEBKGGND00000HOJ,Gunzenhausen,V,18530.18,1,I,498,17590.77,6334.61,571,212798,22941,13002
Haag,Wasserburg,78,Wasserburg,870,1031,1033,1033,1085,1062,1257,1284,1339,OB,12.185,48.16138,DEBKGGND00000F9Q,Haag i. OB,E,7019.16,0,Z,0,0,0,0,0,0,0
Hammelburg,Hammelburg,168,Hammelburg,2632,2762,3013,2981,2889,2867,2872,3006,2911,UF,9.889444,50.11583,DEBKGGND00000DQY,Hammelburg,E,11326.07,0,Z,0,0,0,0,0,0,0
Hassfurt,Hassfurt,169,Hassfurt,1833,2500,2656,2560,2570,2487,2490,2696,2811,UF,10.50638,50.03138,DEBKGGND0000087J,Haßfurt,E,13986.29,1,B,479,14074.48,6748.4,542,122969,26672,9948
Hassloch,NeustadtWeinstrasse,126,NeustadtDuerkheim,5033,5069,5469,5666,5788,5932,6423,7115,7116,PF,8.255555,49.36305,DEBKGGND00000O4X,Haßloch,E,8172.71,0,Z,0,0,0,0,0,0,0
Hauenstein,Pirmasens,127,Pirmasens,369,658,659,674,758,812,1224,1502,1814,PF,7.853611,49.18944,DEBKGGND00000NGH,Hauenstein,N,0,0,Z,0,0,0,0,0,0,0
Hauzenberg,Wegscheid,41,PassauWegscheid,672,823,870,904,937,961,1058,1316,1437,NB,13.62583,48.65194,DEBKGGND000007Q4,Hauzenberg,E,2292.84,0,Z,0,0,0,0,0,0,0
Helmbrechts,Muenchberg,94,Muenchberg,1993,2666,2910,3381,4131,4440,4854,5253,5444,OF,11.71583,50.23666,DEBKGGND00000W6G,Helmbrechts,E,11549.44,0,Z,0,0,0,0,0,0,0
Hengersberg,Deggendorf,31,DeggendorfLand,1048,1361,1460,1414,1467,1454,1430,1498,1550,NB,13.05166,48.77333,DEBKGGND00000TMM,Hengersberg,E,6025.74,0,Z,0,0,0,0,0,0,0
