Ortsnetz,Privatsprechstellen,Behoerdensprechstellen,Oeffentlichesprechstellen,Sprechstellen,Teilnehmer,Teilnehmeranschluesse
Weitnau,25,3,2,30,24,25
Wendelstein,15,1,2,18,14,14
Werneck,11,1,10,22,9,9
Wertingen,10,3,10,23,12,12
Wilhermsdorf,13,3,7,23,13,13
Windischeschenbach,11,1,2,14,8,8
Windsbach,12,2,4,18,11,11
Windsheim,19,3,10,32,19,19
Winnweiler,22,2,15,39,21,21
Woerishofen,20,0,7,27,19,19
WoerthDonau,6,2,8,16,6,6
WoerthIsar,8,3,4,15,8,9
Wolfratshausen,65,6,11,82,41,42
Wolfstein,17,3,15,35,17,17
Wuerzburg,1602,181,39,1822,1174,1258
Wunsiedel,67,13,2,82,58,58
Zweibruecken,245,55,9,309,199,211
Zwiesel,31,3,2,36,22,23
