"","Town","County","BezirkNR","Bezirk","Y1840","Y1875","Y1880","Y1885","Y1890","Y1895","Y1900","Y1905","Y1910","Region","Longitude","Latitude","NNID","NameGNU","PostOffice","PostRevenues","PostBahn","Bahnbezirk","RankRailWeight","TotalRailWeight","SentRailWeight","RankRailRevenues","RailRevenues","CollectedNachnahme","PaidOutNachnahme","TelegraphRevenues","Post_1900","Telegraph_1900","Y1896","InstallTime","Install1896","Install1900","MainLines1896","MainLines1900","MainLines1905","Lines1896","Lines1900","Lines1905","Government1896","Government1900","Government1905","Public1896","Public1900","Public1905","Privat1896","Privat1900","Privat1905","Participants1896","Participants1900","Participants1905","Gov1896","Gov1900","Gov1905","Pub1896","Pub1900","Pub1905","Penetration1896","Penetration1900","Penetration1905","LocalCalls1896","LocalCalls1900","DistanceCalls1900","EmpRatio82","EmpRatio95","EmpRatio07","IndexDisSim82","IndexDisSim95","IndexDisSim07","PopShare1880","PopShare1896","PopShare1900","PopShare1905","City","Fringe","Border","StateTax","LocalTax","Agriculture","Catholics","Participation","Zentrum","Socialist","Liberal","DifCatholicsZentrum","PostRevenues_pc","TelegraphRevenues_pc","Nachnahme","RailStation","RailWeight","MA_Pop_Out_1880","MA_Pop_Out_1896","MA_Pop_Out_1900","MA_Pop_Out_1905","MA_Post_Out_1880","MA_Post_Out_1900","MA_Pop_In_1880","MA_Pop_In_1896","MA_Pop_In_1900","MA_Pop_In_1905","MA_Post_In_1880","MA_Post_In_1900"
"96","Fuessen","Fuessen",143,"Fuessen",1.648,2.415,2.606,2.768,2.989,3.186,3.847,4.462,5099,"SC",10.70027,47.56944,"DEBKGGND00000VUF","Füssen","E",14136.76,0,"Z",0,0,0,0,0,0,0,1092.5,30053.12,3071.15,3.3182,66,0,1,0,18,38,0,31,59,0,6,15,0,2,8,0,23,36,0,18,37,0,0.193548387096774,0.254237288135593,0,0.0645161290322581,0.135593220338983,0,0.00467897062646218,0.00851636037651277,0,6473,225,0.144534721340612,0.176050470182121,0.209709735422553,0.233891237301336,0.21961150151616,0.247612706916706,0.165418306461851,0.189620283299607,0.21175758242968,0.22923195479065,0,0,1,4.55359608384586,2.19367390485754,0.702,0.971,0.682,0.691,0.039,0.269,0.28,5.4246968534152,0.419224865694551,0,0,0,10.248199531383,14.7738295726177,16.6082328749499,18.0501183628556,1.85091811372438,4.70032765007887,0.286798716094423,0.407611676616694,0.454509386585036,0.493759440817167,67.2703064477247,166.38504480416
"97","FurthWald","Cham",106,"Cham",3.052,4.338,4.637,4.926,4.939,5.085,5.375,5.732,6027,"OP",12.84277,49.30777,"DEBKGGND000006J5","Furth im Wald","E",11823.98,0,"Wn",574,88986,22579.22,594,0.173218460211344,221963,603604,1472.5,17203.84,2614.1,5.143,61,0,1,0,11,14,0,15,23,0,2,4,0,1,1,0,12,18,0,11,14,0,0.133333333333333,0.173913043478261,0,0.0666666666666667,0.0434782608695652,0,0.00204651162790698,0.00244242847173761,0,513,267,0.0844652908067542,0.107583330336917,0.12323574208834,0.200291337148659,0.235230494334399,0.224527251926375,0.173996247654784,0.182841321779152,0.188636204113147,0.194009138602132,0,0,1,2.69548528605374,2.24426978614513,0.769,0.996,0.447,0.869,0.012,0,0.127,2.54992020703041,0.31755445331033,-82303.4289411257,1,-9451.70584429588,10.6090400997181,14.2804309217578,16.0016203697416,17.4078131728843,1.57087688508286,3.38459616257927,0.306205696018438,0.384439147469013,0.420966421338494,0.453082866766003,62.4364345531535,142.494420578957
"98","Garmisch","Garmisch",65,"Garmisch",2.675,2.968,3.045,3.206,3.654,3.88,4.62,5.233,6709,"OB",11.10527,47.49388,"DEBKGGND00000UF0","Garmisch-Partenkirchen","E",12474.92,0,"Z",0,0,0,0,0,0,0,515.75,31837.8,4253.6,4.028,114,1,1,33,60,118,41,86,155,2,4,13,6,13,14,33,69,128,33,60,117,0.0487804878048781,0.0465116279069767,0.0838709677419355,0.146341463414634,0.151162790697674,0.0903225806451613,0.00819265143992056,0.012987012987013,0.0225492069558571,7934,48711,60743,0.139192352711666,0.177471775573041,0.264148233266303,0.336637212600661,0.205978190218725,0.321637857564892,0.297015216543114,0.331850838179952,0.352833358790286,0.375825912094226,0,0,1,5.34302607347097,2.44353978869826,0.684,0.986,0.517,0.744,0.033,0,0.242,4.09685385878489,0.169376026272578,0,0,0,10.1622111048963,14.9419864863162,16.8839967273586,18.3285857321051,1.80545782402778,5.32408473704342,0.288110555451045,0.421215785223574,0.477175149123499,0.514866468401714,66.9573462166793,171.596159182012
"99","Gefrees","Muenchberg",94,"Muenchberg",1.554,1.576,1.56,1.551,1.442,1.389,1.457,1.643,1583,"OF",11.73861,50.09472,"DEBKGGND00000UTT","Gefrees","E",5712.19,0,"B",339,5852.3,3522.94,297,0.00618397435897436,13289,2450,308.4,6219.71,446,1.4026,35,0,0,0,0,6,0,0,16,0,0,2,0,0,3,0,0,11,0,0,6,0,0,0.125,0,0,0.1875,0,0,0.00365185636031649,0,0,0,0.219740605775636,0.317582417582418,0.348204375380429,0.647242365920242,0.647266132287194,0.593664959373664,0.0611261314211826,0.0526335733232285,0.053332845272521,0.0588277417737835,0,0,0,2.68627828228413,2.17096352162537,0.321,0.04,0.723,0.001,0.201,0.802,0.039,3.66166025641026,0.197692307692308,6948.07692307692,1,765.115384615385,14.1465931159801,18.5467161911943,20.8909979880354,22.9335010603242,3.52149564418854,7.01064405566465,0.703582525612094,0.859516742446858,0.952790375494487,1.04932902357408,80.5453674680653,175.622444730861
"100","Geiselhoering","Mallersdorf",40,"Mallersdorf",1.205,1.82,1.769,1.754,1.889,1.947,2.044,2.168,2333,"NB",12.39111,48.82472,"DEBKGGND00000RO0","Geiselhöring","E",5629.46,1,"Rg",382,7293.18,4672.48,441,0.0219378179762578,10475,2893,432.35,9900.97,562.8,1.9664,26,0,0,0,0,8,0,0,9,0,0,1,0,0,1,0,0,7,0,0,8,0,0,0.111111111111111,0,0,0.111111111111111,0,0,0.003690036900369,0,0,0,0.0956227596304337,0.0954210135754507,0.141649048625793,0.213128988376616,0.156449390134513,0.206299416529722,0.089311859443631,0.0849884324937797,0.089020513043857,0.08987273556357,0,0,0,4.5542221571784,2.76150056100298,0.75,0.995,0.528,0.788,0.012,0.2,0.207,3.18228377614471,0.2444036178632,4286.03730921425,1,1159.85302430752,13.947835264022,19.0751859066465,21.3133038183866,23.1440996924401,2.77302061530158,6.09989074814565,0.510530776299673,0.657023839355766,0.717946549250028,0.771699410554364,84.3155302095654,194.892835237104
"101","Geisenfeld","Pfaffenhofen",72,"Pfaffenhofen",1.054,1.816,1.933,2.032,1.872,1.899,1.844,1.981,2060,"OB",11.61194,48.68388,"DEBKGGND00000ONU","Geisenfeld","E",8601.26,0,"Z",0,0,0,0,0,0,0,781.45,11936.26,975.25,1.888,64,0,1,0,3,7,0,5,10,0,2,3,0,1,1,0,2,6,0,3,7,0,0.4,0.3,0,0.2,0.1,0,0.00162689804772234,0.00353356890459364,0,42,701,0.0881943604017911,0.0940877848444229,0.107639268906643,0.22317647628945,0.124619909733339,0.137468767017654,0.0584836015974828,0.0541596554772837,0.0532132860069835,0.0542026923497866,0,0,0,4.42345856036708,2.91491253226269,0.625,0.959,0.492,0.948,0.042,0.003,0.0110000000000001,4.4496947749612,0.404267977237455,0,0,0,16.7190964238007,24.0155154621389,27.0349621777762,29.3794509729321,3.98552645627491,9.2211475633412,0.660122464207823,0.942270801233585,1.04760610473574,1.13607759206011,106.353636444267,252.877751993293
"102","Gemuenden","Gemuenden",174,"LohrGemuenden",1.558,1.851,2.131,2.043,2.042,2.171,2.187,2.386,2376,"UF",9.700555,50.05111,"DEBKGGND00000BR3","Gemünden a. Main","V",8803.98,1,"Wg",565,56190.34,16165.15,557,0.0860084467386204,47093,73844,866.8,14660.03,1796.55,2.1742,30,0,0,0,0,18,0,0,29,0,0,3,0,0,7,0,0,19,0,0,18,0,0,0.103448275862069,0,0,0.241379310344828,0,0,0.00754400670578374,0,0,0,0.0904775280898876,0.121729542880982,0.142115711854793,0.178399393337614,0.18206792535932,0.210984068243621,0.0598595505617978,0.0646939626914596,0.064300834999412,0.0676687464549064,0,0,1,3.33095091032089,1.72340362951852,0.764,0.882,0.582,0.698,0.088,0.207,0.184,4.13138432660723,0.406757390896293,-12553.261379634,1,-11196.6400750821,11.0102109667628,14.3995689559288,16.081872473601,17.6502000654673,2.62977303690413,5.30241500445608,0.429159154915549,0.515210940527714,0.55993314904908,0.616577506531651,70.7803155792368,153.229616848531
"103","Georgensgmuend","Schwabach",23,"SchwabachLand",1.02,1.323,1.386,1.529,1.519,1.531,1.58,1.607,1660,"MF",11.01444,49.18777,"DEBKGGND00000NQV","Georgensgmünd","E",3828.6,1,"N",428,9752.09,4691.38,461,0.0331269841269841,17273,8400,649.05,7833.64,669.37,1.5408,28,0,0,0,0,17,0,0,21,0,0,1,0,0,1,0,0,19,0,0,17,0,0,0.0476190476190476,0,0,0.0476190476190476,0,0,0.0105787181082763,0,0,0,0.117206586921344,0.150719932666005,0.171689158279963,0.313934811789662,0.287041750715625,0.180681987901813,0.0439762667766602,0.0460215829500706,0.0468884470427635,0.045945791399817,0,1,0,2.89691914271797,2.09282148075986,0.597,0.138,0.654,0.002,0.078,0.839,0.136,2.76233766233766,0.468290043290043,6401.8759018759,1,-266.471861471861,18.4664402854109,25.8760830604333,30.1735763478536,33.0778109296398,5.57511893053323,13.6729317368111,0.919501118452,1.27103841868562,1.50513763955257,1.65632872102334,118.048185379168,280.250941578197
"105","Gerolzhofen","Gerolzhofen",167,"Gerolzhofen",2.05,2.072,2.225,2.264,2.168,2.227,2.163,2.533,2553,"UF",10.35083,49.89972,"DEBKGGND00000VK7","Gerolzhofen","E",5595.15,0,"Z",0,0,0,0,0,0,0,371.6,11521.36,884.3,2.2142,29,0,0,0,0,18,0,0,28,0,0,4,0,0,6,0,0,18,0,0,18,0,0,0.142857142857143,0,0,0.214285714285714,0,0,0.00710619818397158,0,0,0,0.0810669456066946,0.0990060668645927,0.104891724671307,0.23231771919752,0.169129039278205,0.220579114867165,0.0684531134629584,0.0718665289789596,0.0709878569084345,0.0816254189224027,0,0,0,4.49053730693931,1.52925821187731,0.718,0.626,0.707,0.513,0.018,0.469,0.113,2.51467415730337,0.167011235955056,0,0,0,14.0741913256758,18.629507584416,21.0140144864715,22.9721674510087,3.82463522192218,7.69123401758462,0.588365719500408,0.734475732726084,0.816444822826763,0.890538970055055,91.348725178334,197.58355694403
"107","Graefenberg","Forchheim",88,"Forchheim",0.949,1.05,1.111,1.182,1.154,1.12,1.099,1.153,1150,"OF",11.25111,49.64472,"DEBKGGND00000NZZ","Gräfenberg","E",3209.38,0,"Z",0,0,0,0,0,0,0,267.7,6554.01,382.05,1.1158,26,0,0,0,0,35,0,0,48,0,0,7,0,0,4,0,0,37,0,0,35,0,0,0.145833333333333,0,0,0.0833333333333333,0,0,0.0303555941023417,0,0,0,0.0942689775952654,0.150944472978371,0.177054164333147,0.154550244438579,0.255840282674659,0.238668028026555,0.0335467117579564,0.031957998059693,0.0306059930934611,0.0307491265967944,1,0,0,3.27837121983875,2.06298570888029,0.737,0.45,0.664,0.435,0.065,0.232,0.015,2.88873087308731,0.240954095409541,0,0,0,18.4918277463558,26.2188120754705,30.9657038669368,34.0701282739172,6.28113157338661,15.2568273546827,0.93426274568298,1.36753751351056,1.67185794074835,1.84897758342805,120.6637278522,284.10038286311
"108","Grafenau","Grafenau",34,"Grafenau",0.774,1.018,1.154,1.073,1.173,1.129,1.253,1.235,1344,"NB",13.39722,48.85861,"DEBKGGND00000RQF","Grafenau","E",6294.95,0,"Z",0,0,0,0,0,0,0,434.75,11797.62,1390.6,1.1538,52,0,0,0,0,18,0,0,31,0,0,6,0,0,7,0,0,18,0,0,16,0,0,0.193548387096774,0,0,0.225806451612903,0,0,0.0145748987854251,0,0,0,0.0762602083920022,0.0862723521320495,0.10774112995526,0.241156793823306,0.216974977124614,0.325618254190307,0.0649957758377922,0.0621182943603851,0.0674598901690535,0.064249297679742,0,0,1,2.65594059405941,2.63734873487349,0.72,0.987,0.457,0.765,0.029,0.206,0.222,5.45489601386482,0.376733102253033,0,0,0,9.71722188139631,13.0081745800091,14.4705030069298,15.7199077681045,1.51286375566374,3.24629366390167,0.304924152042535,0.372346781276011,0.4025427494842,0.436082185705113,56.7609506832672,130.41132714907
"109","Grafengehaig","Stadtsteinbach",98,"Stadtsteinach",0.6,0.65,0.665,0.666,0.644,0.57,0.552,0.548,475,"OF",11.59305,50.20388,"DEBKGGND00000WI9","Grafengehaig","E",2927.46,0,"Z",0,0,0,0,0,0,0,207.65,1556.99,66.3,0.5664,12,0,0,0,0,3,0,0,7,0,0,0,0,0,2,0,0,5,0,0,3,0,0,0,0,0,0.285714285714286,0,0,0.00547445255474453,0,0,0,0.159396932674812,0.206407091561939,0.254641755427507,0.461319706742644,0.486536568182673,0.488879942847774,0.0345723940733039,0.0319793536804309,0.0318541173754977,0.0318956987369769,0,0,0,2.50369013347291,1.74833813137922,0.737,0.45,0.664,0.435,0.065,0.232,0.015,4.4021954887218,0.312255639097744,0,0,0,13.2415182284602,17.5265387689324,19.7492231729337,21.6588270534771,3.13357612841154,6.44620147420765,0.598127292975324,0.766710334967798,0.85277535752813,0.936511417757703,76.8218438586908,168.295364356128
"110","Grafing","Ebersberg",60,"Ebersberg",0.624,0.891,0.882,0.933,0.944,0.969,1.059,1.069,1130,"OB",11.96583,48.04527,"DEBKGGND00000QND","Grafing b. München","E",5100.65,1,"Rm",451,10676.17,7928.21,436,0.0378197278911565,24936,13369,423.85,11157.11,637.85,0.987,49,0,0,0,0,17,0,0,47,0,0,7,0,0,15,0,0,25,0,0,17,0,0,0.148936170212766,0,0,0.319148936170213,0,0,0.0159027128157156,0,0,0,0.100282614641262,0.104846519853468,0.136462636124671,0.258581451880565,0.281036066277472,0.206830592247468,0.0402042118698149,0.0408017179670723,0.041841169498222,0.040142696207285,0,0,0,4.32319660537482,3.39400636492221,0.604,0.982,0.509,0.711,0.096,0.193,0.271,5.78304988662132,0.480555555555556,13114.5124716553,1,5873.29931972789,16.4733816943764,26.5495897321981,30.3070781964438,32.8379376753979,5.625531335285,16.2742369818068,0.743733151715083,1.31461745722544,1.51367187745209,1.63543782107924,116.584872647791,312.660837631716
"111","Grassau","Traunstein",77,"TraunsteinLand",1.022,1.136,1.236,1.37,1.465,1.528,1.669,1.794,1945,"OB",12.45138,47.77833,"DEBKGGND00000H7O","Grassau","E",3080.19,0,"Z",0,0,0,0,0,0,0,0,3784.21,285.35,1.5562,15,0,0,0,0,22,0,0,42,0,0,7,0,0,12,0,0,23,0,0,22,0,0,0.166666666666667,0,0,0.285714285714286,0,0,0.012263099219621,0,0,0,0.0933917031478007,0.127178543764524,0.126611374407583,0.295218535034417,0.158650278719004,0.219026062055178,0.0322076297686054,0.0369868319132455,0.0406785444441736,0.0425118483412322,0,1,1,4.29568788501027,2.47501711156742,0.644,0.992,0.526,0.89,0.013,0.097,0.102,2.49206310679612,0,0,0,0,10.7436725517467,15.756026181383,17.7946992742809,19.3361382671494,2.26014360450295,5.61575958182926,0.3316527277841,0.484878732857519,0.546435686995497,0.593403959837617,71.393017634594,177.320194479697
"112","Griesbach","Griesbach",35,"Griesbach",0.901,1.19,1.193,1.264,1.199,1.233,1.247,1.272,1237,"NB",13.19277,48.45277,"DEBKGGND00000BG1","Bad Griesbach i. Rottal","E",6740.3,0,"Rm",1,0,0,1,0.00166219614417435,0,0,438.25,9949.29,486.3,1.2358,51,0,0,0,0,19,0,0,35,0,0,4,0,0,8,0,0,23,0,0,19,0,0,0.114285714285714,0,0,0.228571428571429,0,0,0.014937106918239,0,0,0,0.0952337136547663,0.0919150455113332,0.101155985208048,0.221492573642519,0.164130585388066,0.179628321354206,0.0365906023800761,0.0366767802962699,0.0376248378239749,0.0370381154820487,0,0,1,4.79606541692827,2.32594851556193,0.783,0.997,0.416,0.836,0.01,0.154,0.161,5.6498742665549,0.367351215423303,0,1,0,10.5078164196325,14.2538411084904,15.848769306345,17.2053321170829,1.78651391743148,4.05786594206669,0.352268481247432,0.440896217753463,0.47586674997442,0.513807218794127,62.236831735985,146.092214176218
"113","Groenenbach","Memmingen",151,"MemmingenLand",1.747,1.707,1.656,1.799,1.777,1.755,1.825,1.918,1988,"SC",10.22111,47.875,"DEBKGGND00000S5U","Bad Grönenbach","E",3683.96,1,"K",247,3498.58,2486.62,284,0.00968599033816425,5354,1972,196.5,11657.85,616.7,1.769,18,0,0,0,0,15,0,0,29,0,0,2,0,0,7,0,0,20,0,0,15,0,0,0.0689655172413793,0,0,0.241379310344828,0,0,0.00782064650677789,0,0,0,0.0952031582992698,0.104134138890775,0.12213424910172,0.247968958944421,0.188637374735354,0.293371562101844,0.0578555706948957,0.0595682574163329,0.060691719321583,0.060987630767274,0,1,1,6.09207610874688,2.50406218126824,0.64,0.829,0.615,0.65,0.038,0.312,0.179,2.22461352657005,0.118659420289855,2042.27053140097,1,890.495169082126,11.6341080043002,16.2324040932656,18.0962778058455,19.6709568313209,2.91352214168906,7.05155301213941,0.469553708971439,0.622182357728315,0.678479772584097,0.735877333115983,75.2633796112922,180.637271954393
"114","Gruenenbach","Lindau",149,"LindauLand",0.331,0.657,0.65,0.661,0.699,0.667,0.692,0.662,782,"SC",10.01055,47.62916,"DEBKGGND00000TOJ","Grünenbach","N",1022.5,0,"Z",0,0,0,0,0,0,0,0,2428.99,132.25,0.672,46,0,0,0,0,34,0,0,47,0,0,2,0,0,8,0,0,37,0,0,34,0,0,0.0425531914893617,0,0,0.170212765957447,0,0,0.0513595166163142,0,0,0,0.113131603536261,0.239806704922984,0.24551100725618,0.255051979451678,0.239849137082834,0.261930944410899,0.023359447998275,0.040289942615524,0.0232308312071975,0.0203541999754028,0,1,1,4.53083700440529,4.78646161107615,0.597,0.902,0.814,0.505,0.004,0.491,0.397,1.57307692307692,0,0,0,0,9.45823894488424,13.112767861534,14.6388741375941,15.9170114262748,1.92370168433645,4.69352122179961,0.326084530440687,0.4171317155603,0.453880261213433,0.490657356689249,60.9331889566575,147.002345725969
"116","Guenzburg","Guenzburg",133,"Guenzburg",5.2,3.808,4.014,4.114,4.114,4.339,4.624,4.747,4585,"SC",10.28138,48.45444,"DEBKGGND00000LY8","Günzburg","E",15278.99,1,"A",496,16953.55,7895.73,559,0.034130543099153,40893,17307,1220.7,29367.39,1903.2,4.396,74,0,1,0,13,23,0,20,38,0,5,9,0,2,3,0,13,26,0,13,23,0,0.25,0.236842105263158,0,0.1,0.0789473684210526,0,0.00281141868512111,0.00484516536760059,0,6444,676,0.206776283009467,0.260889605899977,0.309782608695652,0.223199499355692,0.178615817678403,0.181082964525039,1,1,1,0.921389751552795,1,0,1,5.70296548371415,4.10549343704424,0.693,0.92,0.569,0.794,0.02,0.186,0.126,3.8064250124564,0.304110612855007,5875.93423019432,1,-289.509217737917,13.0997512173231,18.0176395013655,20.0805687950259,21.8152679401668,2.88011140661327,6.12969395728441,0.488009743221138,0.623005871011808,0.671922759872316,0.724844505270404,83.7046204177356,191.221149093536
"117","Gunzenhausen","Gunzenhausen",16,"Gunzenhausen",2.6,3.434,3.755,3.807,3.853,4.181,4.503,4.849,5278,"MF",10.75916,49.11333,"DEBKGGND00000HOJ","Gunzenhausen","V",18530.18,1,"I",498,17590.77,6334.61,571,0.0540237017310253,22941,13002,2185,32264.78,2820.55,4.2454,27,0,0,0,0,59,0,0,84,0,0,8,0,0,12,0,0,64,0,0,59,0,0,0.0952380952380952,0,0,0.142857142857143,0,0,0.0121674572076717,0,0,0,0.0864309364652964,0.0938488026295195,0.103707165109034,0.17998330904615,0.165337154566368,0.204360985184401,0.11729243455988,0.130881202066051,0.14161268004277,0.151059190031153,0,0,0,4.00896200356025,1.20489841016512,0.769,0.2,0.608,0.155,0.037,0.343,0.045,4.93480159786951,0.581890812250333,2646.87083888149,1,-1310.66577896138,16.158512296157,22.2917861201765,25.5919416964982,27.9237489287172,3.8174293452481,8.76157323228896,0.627196066888989,0.841488556163042,0.971798524641058,1.0576707902943,102.488964313996,237.655421154677
"118","Haag","Wasserburg",78,"Wasserburg",0.87,1.031,1.033,1.033,1.085,1.062,1.257,1.284,1339,"OB",12.185,48.16138,"DEBKGGND00000F9Q","Haag i. OB","E",7019.16,0,"Z",0,0,0,0,0,0,0,338.25,11340.18,504.5,1.101,26,0,0,0,0,11,0,0,23,0,0,5,0,0,4,0,0,14,0,0,11,0,0,0.217391304347826,0,0,0.173913043478261,0,0,0.00856697819314642,0,0,0,0.0989640463132236,0.103811376902827,0.107053699474159,0.246266981666838,0.16992642624178,0.170294136765635,0.0314747105423522,0.0303880050360536,0.0347737080889676,0.0340999628193552,0,0,0,5.43878791472707,3.05814332730453,0.744,0.997,0.517,0.987,0.005,0.005,0.01,6.79492739593417,0.327444336882865,0,0,0,14.7426463243618,22.289997683127,25.21917492938,27.3437890233063,3.86855986066746,10.2857261010211,0.578571665494979,0.893493193640487,1.00818051836473,1.08822863810502,98.4706889942727,251.500843255792
"119","Hammelburg","Hammelburg",168,"Hammelburg",2.632,2.762,3.013,2.981,2.889,2.867,2.872,3.006,2911,"UF",9.889444,50.11583,"DEBKGGND00000DQY","Hammelburg","E",11326.07,0,"Z",0,0,0,0,0,0,0,467.5,20871.02,1093.9,2.868,49,0,0,0,0,33,0,0,41,0,0,4,0,0,5,0,0,32,0,0,33,0,0,0.0975609756097561,0,0,0.121951219512195,0,0,0.0109780439121756,0,0,0,0.0817705854355069,0.0844455721897995,0.095606715592641,0.230807664400921,0.149911197107044,0.193820203514229,0.143407900999524,0.145496066988074,0.147531720347254,0.151100834422439,0,0,0,3.94636855180476,2.12436066052901,0.764,0.882,0.582,0.698,0.088,0.207,0.184,3.75906737470959,0.155160969133754,0,0,0,11.086166218845,14.5531621626604,16.2951646500288,17.870261847282,2.84608766814534,5.58888781646017,0.39558675698355,0.485868782917188,0.533168040473504,0.586271651658172,73.631594233736,157.804059443138
"120","Hassfurt","Hassfurt",169,"Hassfurt",1.833,2.5,2.656,2.56,2.57,2.487,2.49,2.696,2811,"UF",10.50638,50.03138,"DEBKGGND0000087J","Haßfurt","E",13986.29,1,"B",479,14074.48,6748.4,542,0.0400018825301205,26672,9948,818.3,21603.1,1210.6,2.4876,52,0,0,0,0,14,0,0,20,0,0,3,0,0,2,0,0,15,0,0,14,0,0,0.15,0,0,0.1,0,0,0.00519287833827893,0,0,0,0.0935974431917957,0.134354678717073,0.172356599861783,0.252468827088392,0.165983801335856,0.196458327194229,0.0932813542654445,0.0913699988978287,0.0895844576362655,0.0931582584657913,0,0,0,3.45447284345048,2.5649869300029,0.684,0.694,0.747,0.509,0.119,0.367,0.185,5.26592243975904,0.308094879518072,6296.68674698795,1,-217.5,13.0492786683694,17.3257097345555,19.5645905837358,21.4429415540959,3.20856753474849,6.38189122807924,0.483538748377153,0.609579590370258,0.680075773501213,0.748932902657188,84.480657142054,182.420598570159
"123","Hauzenberg","Wegscheid",41,"PassauWegscheid",0.672,0.823,0.87,0.904,0.937,0.961,1.058,1.316,1437,"NB",13.62583,48.65194,"DEBKGGND000007Q4","Hauzenberg","E",2292.84,0,"Z",0,0,0,0,0,0,0,501.7,4584.85,799.4,0.9804,56,0,0,0,0,18,0,0,25,0,0,2,0,0,2,0,0,21,0,0,16,0,0,0.08,0,0,0.08,0,0,0.013677811550152,0,0,0,0.0935147295884927,0.117205862021291,0.119464876339043,0.1894220982536,0.210254654934433,0.253297172074002,0.0154115958973269,0.0166079081985345,0.0180712602056503,0.0216550657385924,0,1,1,3.74274140269133,1.74938280190549,0.72,0.987,0.457,0.765,0.029,0.206,0.222,2.63544827586207,0.576666666666667,0,0,0,9.43575196241011,12.5460387342105,13.8900556613501,15.029997933349,1.76163521764958,3.92397484048164,0.36260381871931,0.430928942431655,0.457232244155292,0.485816760624688,54.779826313851,127.089073264502
"124","Helmbrechts","Muenchberg",94,"Muenchberg",1.993,2.666,2.91,3.381,4.131,4.44,4.854,5.253,5444,"OF",11.71583,50.23666,"DEBKGGND00000W6G","Helmbrechts","E",11549.44,0,"Z",0,0,0,0,0,0,0,1004.25,25828.88,2385.17,4.5228,145,1,1,19,37,54,27,58,85,1,3,5,1,2,6,25,53,74,16,37,54,0.037037037037037,0.0517241379310345,0.0588235294117647,0.037037037037037,0.0344827586206897,0.0705882352941176,0.00420093747236225,0.00762257931602802,0.0102798400913764,10414,34620,58832,0.219740605775636,0.317582417582418,0.348204375380429,0.647242365920242,0.647266132287194,0.593664959373664,0.114023745151052,0.168245547555892,0.177678538745928,0.188084070321172,0,0,0,2.68627828228413,2.17096352162537,0.321,0.04,0.723,0.001,0.201,0.802,0.039,3.96887972508591,0.345103092783505,0,0,0,13.3555884563281,17.4493216817175,19.6620690219587,21.5815882864459,3.55156201135133,6.95740351240421,0.703051206596292,0.868925989183418,0.969092050725428,1.0660464666672,75.6209735422706,164.484603402118
"125","Hengersberg","Deggendorf",31,"DeggendorfLand",1.048,1.361,1.46,1.414,1.467,1.454,1.43,1.498,1550,"NB",13.05166,48.77333,"DEBKGGND00000TMM","Hengersberg","E",6025.74,0,"Z",0,0,0,0,0,0,0,713.75,8866.13,657.1,1.4492,30,0,0,0,0,15,0,0,31,0,0,3,0,0,11,0,0,17,0,0,14,0,0,0.0967741935483871,0,0,0.354838709677419,0,0,0.0100133511348465,0,0,0,0.0820817803113352,0.0866294524189261,0.102130390143737,0.215347710731605,0.22073886746759,0.182477034372425,0.0400131550098663,0.0386496544391281,0.0379733389983536,0.0384496919917864,0,1,0,3.79912301810112,2.25467233496431,0.74,0.996,0.327,0.97,0.006,0.024,0.0259999999999999,4.12721917808219,0.488869863013699,0,0,0,11.5915482476765,15.4654488606325,17.1754288429294,18.6463587992586,2.469719147098,5.18484096242804,0.472829352260585,0.567639260121804,0.609899212077649,0.657952875114647,68.0055870264166,155.641757861635
"126","Herrieden","Feuchtwangen",14,"Feuchtwangen",1.049,0.991,1.072,1.027,0.991,0.969,0.935,1.011,1041,"MF",10.49722,49.23277,"DEBKGGND000002J6","Herrieden","E",3518.49,0,"Z",0,0,0,0,0,0,0,159.8,4068.19,222.25,0.9622,15,0,0,0,0,6,0,0,10,0,0,1,0,0,2,0,0,7,0,0,6,0,0,0.1,0,0,0.2,0,0,0.00593471810089021,0,0,0,0.0726448474126493,0.076881741066288,0.106772026263552,0.207886210030144,0.147283805320092,0.203153840329006,0.0395105410585287,0.0371934134264768,0.0361031739902695,0.0385936784241869,0,0,1,3.91956773735183,3.21392513928879,0.769,0.2,0.608,0.155,0.037,0.343,0.045,3.28217350746269,0.149067164179104,0,0,0,16.1062465330895,21.7851187990562,24.9030868289028,27.128816296232,4.55646483690115,9.89600179204787,0.77310145477914,0.981056846311443,1.11394261931111,1.20261341624633,101.105299012322,230.065663583973
"127","Herrsching","Muenchen",71,"MuenchenLandI",0.357,0.356,0.409,0.377,0.359,0.354,0.448,0.583,997,"OB",11.17694,47.99861,"DEBKGGND00000A3U","Herrsching a. Ammersee","E",1572.3,0,"Z",0,0,0,0,0,0,0,0,2759.76,254.5,0.3728,17,0,0,0,0,22,0,0,36,0,0,6,0,0,6,0,0,24,0,0,21,0,0,0.166666666666667,0,0,0.166666666666667,0,0,0.0377358490566038,0,0,0,0.145233731163689,0.196253462908403,0.272607229031367,0.290542457633341,0.252426099021548,0.370399516304918,0.00572260077513957,0.00518886592498131,0.00582961391820323,0.00699854747127955,0,1,0,5.00115640358485,3.14936003574338,0.163,0.886,0.612,0.291,0.523,0.018,0.595,3.84425427872861,0,0,0,0,16.8758456031028,26.6332923367842,30.3001233598931,32.8548788415815,5.74642840327094,16.0404087706154,0.777740015361239,1.30447172658912,1.49265985746194,1.61709244408712,119.22188465057,312.734504168216
